Formate,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
Test,2014,2,7,17,0,2.43,0,0,0,0/4,2,0,81
Test,2015,1,1,0,0,0,0,0,0,1/1000,0,0,100
,2016,,,,,,,,,,,,
Test,2017,2,2.1,6,0,2.77,0,0,0,0/1,1,0,76.9
,2018,,,,,,,,,,,,
Test,2019,1,1,4,0,4,0,0,0,0/4,1,0,83.3
Test,2020,1,1,4,0,4,0,0,0,0/4,1,0,83.3
,2021,,,,,,,,,,,,
,2022,,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Total,11,29.1,84,0,2.88,0,0,0,1/1000,10,0,74.3
,,,,,,,,,,,,,
,Year,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,Dot%
,2008,,,,,,,,,,,,
ODI,2009,1,3,21,0,7,0,0,0,0/21,2,0,22.2
ODI,2010,3,6.4,39,0,5.85,0,0,0,0/11,3,0,35
ODI,2011,12,34,188,2,5.53,94,102,0,1/20,12,2,39.2
ODI,2012,5,7.5,49,0,6.26,0,0,0,0/3,2,0,38.3
ODI,2013,12,25,178,1,7.12,178,150,0,1/15,12,6,38
ODI,2014,7,17,107,1,6.29,107,102,0,1/36,12,1,39.2
ODI,2015,4,5.2,34,0,6.38,0,0,0,0/1,2,0,28.1
ODI,2016,2,3,20,0,6.67,0,0,0,0/7,2,0,27.8
ODI,2017,2,5,29,0,5.8,0,0,0,0/12,3,0,36.7
,2018,,,,,,,,,,,,
,2019,,,,,,,,,,,,
,2020,,,,,,,,,,,,
,2021,,,,,,,,,,,,
,2022,,,,,,,,,,,,
ODI,2023,2,3.3,15,1,4.29,15,21,0,1/13,1,0,52.4
,Total,50,110.2,680,5,6.16,136,132.4,0,1/13,51,9,37.6
,,,,,,,,,,,,,
,Year,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,Dot%
T20I,2011,2,5.4,35,2,6.18,17.5,17,0,1/13,3,0,44.1
T20I,2012,8,15,124,1,8.27,124,90,0,1/21,12,2,25.6
T20I,2013,1,2,24,0,12,0,0,0,0/24,2,1,25
,2014,,,,,,,,,,,,
,2015,,,,,,,,,,,,
T20I,2016,1,1.4,15,1,9,15,10,0,1/15,1,1,40
,2017,,,,,,,,,,,,
,2018,,,,,,,,,,,,
,2019,,,,,,,,,,,,
,2020,,,,,,,,,,,,
,2021,,,,,,,,,,,,
T20I,2022,1,1,6,0,6,0,0,0,0/6,0,0,16.7
,2023,,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Total,13,25.2,204,4,8.05,51,38,0,1/13,18,4,30.3
,,,,,,,,,,,,,
,Year,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,Dot%
IPL,2008,4,7.4,61,2,7.96,30.5,23,0,2/25,3,1,21.7
IPL,2009,4,8,69,0,8.62,0,0,0,0/9,5,1,27.1
IPL,2010,6,9.2,89,0,9.54,0,0,0,0/1,5,4,23.2
IPL,2011,13,20.3,172,2,8.39,86,61.5,0,1/8,16,2,24.4
IPL,2012,2,3,49,0,16.33,0,0,0,0/13,4,4,11.1
,2013,,,,,,,,,,,,
,2014,,,,,,,,,,,,
IPL,2015,2,1.5,10,0,5.45,0,0,0,0/4,0,0,18.2
IPL,2016,1,1,13,0,13,0,0,0,0/13,0,1,33.3
,2017,,,,,,,,,,,,
,2018,,,,,,,,,,,,
,2019,,,,,,,,,,,,
,2020,,,,,,,,,,,,
,2021,,,,,,,,,,,,
,2022,,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Total,32,51.2,463,4,9.02,115.8,77,0,2/25,33,13,23.4
